Orthogroup	PR	PS	PT
OG0000000		PS012610.2.0, PS013086.2.0, PS014878.2.0, PS014916.2.0, PS015118.2.0, PS015159.2.0, PS015700.2.0, PS020658.2.0, PS025728.2.0, PS030230.2.0, PS030362.2.0, PS033540.2.0, PS034314.2.0, PS034325.2.0, PS034327.2.0, PS034832.2.0, PS034873.2.0, PS034947.2.0, PS034969.2.0, PS035211.2.0, PS040751.2.0, PS050652.2.0, PS053066.2.0, PS060464.2.0, PS070308.2.0, PS071029.2.0, PS072197.2.0, PS072255.2.0, PS072420.2.0, PS073090.2.0, PS081861.2.0, PS091092.2.0, PS091473.2.0, PS091764.2.0, PS092956.2.0, PS093160.2.0, PS100927.2.0, PS100938.2.0, PS100945.2.0, PS101044.2.0, PS101336.2.0	PT011275.0, PT015997.0, PT016136.0, PT020648.0, PT020810.0, PT020835.0, PT021134.0, PT021162.0, PT021167.0, PT021190.0, PT021229.0, PT021596.0, PT022392.0, PT023237.0, PT025750.0, PT030940.0, PT031276.0, PT031819.0, PT034030.0, PT034046.0, PT035325.0, PT041057.0, PT042166.0, PT043310.0, PT043759.0, PT045178.0, PT045219.0, PT045452.0, PT045501.0, PT045544.0, PT063251.0, PT063646.0, PT064562.0, PT074965.0, PT080303.0, PT082742.0, PT090293.0, PT091191.0, PT091222.0, PT091492.0, PT091787.0, PT093239.0, PT094167.0, PT094176.0, PT102969.0, PT102975.0, PT102988.0, PT102991.0, PT103325.0, PT112466.0, PT120827.0, PT120864.0, PT140135.0, PT140671.0, PT172735.0, PT172773.0, PT173235.0, PT173303.0, PT190627.0, PT193332.0, PT201317.0
OG0000001	PR010272.0, PR010390.0, PR010391.0, PR013568.0, PR013743.0, PR013745.0, PR013746.0, PR014220.0, PR014232.0, PR014235.0, PR014238.0, PR014383.0, PR014514.0, PR030306.0, PR030715.0, PR032942.0, PR033127.0, PR033128.0, PR033146.0, PR042040.0, PR042754.0, PR043429.0, PR050761.0, PR050764.0, PR050770.0, PR050771.0, PR053465.0, PR060632.0, PR070565.0, PR070576.0, PR070656.0, PR070663.0, PR071324.0	PS012006.2.0, PS015300.2.0, PS020136.2.0, PS020993.2.0, PS021753.2.0, PS021802.2.0, PS031225.2.0, PS031270.2.0, PS031296.2.0, PS031302.2.0, PS034432.2.0, PS040073.2.0, PS041544.2.0, PS043337.2.0, PS052793.2.0, PS054519.2.0, PS060363.2.0, PS073428.2.0, PS073431.2.0, PS081617.2.0, PS090083.2.0, PS090317.2.0, PS101041.2.0, PS113616.2.0	PT015788.0, PT015844.0, PT016663.0, PT021459.0, PT024775.0, PT024780.0, PT024806.0, PT024875.0, PT030555.0, PT030557.0, PT041723.0, PT042118.0, PT045320.0, PT045647.0, PT053127.0, PT054995.0, PT055510.0, PT060292.0, PT060547.0, PT070593.0, PT073044.0, PT074476.0, PT074915.0, PT082987.0, PT083165.0, PT090300.0, PT100551.0, PT111891.0, PT111894.0, PT123808.0, PT130237.0, PT134204.0, PT140207.0, PT151666.0, PT222531.0
OG0000002	PR011899.0, PR013274.0, PR021102.0, PR023853.0, PR031644.0, PR031695.0, PR033795.0, PR034312.0, PR034447.0, PR052484.0, PR070898.0, PR071959.0		PT011009.0, PT024106.0, PT031037.0, PT032922.0, PT033032.0, PT035384.0, PT045813.0, PT050559.0, PT051644.0, PT051795.0, PT053238.0, PT054153.0, PT055410.0, PT063192.0, PT063774.0, PT065421.0, PT073355.0, PT073449.0, PT080666.0, PT082049.0, PT090998.0, PT092121.0, PT101731.0, PT102545.0, PT103641.0, PT111067.0, PT111365.0, PT111540.0, PT112075.0, PT112254.0, PT112581.0, PT113793.0, PT115598.0, PT132731.0, PT133314.0, PT150261.0, PT160837.0, PT161734.0, PT161975.0, PT161981.0, PT162261.0, PT170745.0, PT172524.0, PT172570.0, PT181244.0, PT181411.0, PT190226.0, PT192334.0, PT201200.0, PT201458.0, PT202190.0, PT210846.0, PT220940.0, PT221126.0, PT221524.0, PT221793.0
OG0000003	PR010485.0, PR010497.0, PR010509.0, PR010516.0, PR010523.0, PR011850.0, PR011952.0, PR011961.0, PR011965.0, PR011975.0, PR022831.0, PR022833.0, PR022835.0, PR022896.0, PR022910.0, PR023120.0, PR023135.0, PR023491.0, PR023494.0, PR032947.0	PS011974.2.0, PS012329.2.0, PS012423.2.0, PS021758.2.0, PS021809.2.0, PS021815.2.0, PS031227.2.0, PS031279.2.0, PS031285.2.0, PS032711.2.0, PS041374.2.0, PS043329.2.0, PS043346.2.0, PS050271.2.0, PS051504.2.0, PS071252.2.0, PS071955.2.0, PS081280.2.0, PS081608.2.0, PS083560.2.0, PS084002.2.0, PS084009.2.0, PS084011.2.0	PT015776.0, PT015782.0, PT015840.0, PT023295.0, PT024790.0, PT024873.0, PT032129.0, PT032845.0, PT042085.0, PT051818.0, PT060488.0, PT060834.0, PT073041.0, PT080479.0, PT080482.0, PT080487.0, PT080929.0, PT082995.0, PT083329.0, PT092402.0, PT092410.0, PT093002.0
OG0000004	PR010165.0, PR010168.0, PR010179.0, PR010180.0, PR010181.0, PR010434.0, PR010484.0, PR010503.0, PR010505.0, PR010507.0, PR010510.0, PR010559.0, PR010560.0, PR010649.0, PR011984.0, PR022546.0, PR022899.0, PR031538.0, PR031717.0, PR070020.0, PR070578.0, PR070630.0, PR071294.0, PR071301.0, PR071302.0	PS021757.2.0, PS021790.2.0, PS043344.2.0, PS043348.2.0, PS050275.2.0, PS071571.2.0, PS072650.2.0, PS083433.2.0, PS083982.2.0, PS083998.2.0, PS084014.2.0, PS084016.2.0, PS084029.2.0, PS084208.2.0, PS084209.2.0, PS092875.2.0, PS101856.2.0, PS101869.2.0, PS102138.2.0, PS102139.2.0, PS102158.2.0, PS102162.2.0, PS102175.2.0, PS102379.2.0, PS102380.2.0	PT032503.0, PT032504.0, PT080526.0, PT080527.0, PT101425.0, PT173160.0
OG0000005	PR014784.0, PR015434.0, PR034337.0	PS010388.2.0, PS010601.2.0, PS010603.2.0, PS011165.2.0, PS013122.2.0, PS026557.2.0, PS031914.2.0, PS031916.2.0, PS052920.2.0, PS054729.2.0, PS054759.2.0, PS055140.2.0, PS055142.2.0, PS062670.2.0, PS084156.2.0, PS084157.2.0, PS102331.2.0, PS103113.2.0	PT024135.0, PT024137.0, PT024138.0, PT040585.0, PT040586.0, PT043348.0, PT053275.0, PT055253.0, PT055265.0, PT055266.0, PT055662.0, PT061462.0, PT074010.0, PT080295.0, PT100658.0, PT101475.0, PT114222.0, PT122768.0, PT150039.0, PT150040.0, PT160195.0, PT160198.0, PT160394.0, PT160401.0, PT160556.0, PT180517.0, PT192075.0, PT200359.0, PT200361.0, PT200362.0, PT221952.0, PT222477.0, PT222478.0, PT222492.0
OG0000006	PR010838.0, PR012468.0, PR020517.0, PR025613.0, PR030532.0, PR031087.0, PR040902.0, PR045154.0, PR050948.0, PR060403.0, PR063121.0, PR063333.0		PT015619.0, PT016175.0, PT041857.0, PT051901.0, PT052147.0, PT061550.0, PT061933.0, PT062057.0, PT062352.0, PT063014.0, PT063656.0, PT064989.0, PT065221.0, PT082733.0, PT100905.0, PT101108.0, PT111719.0, PT112998.0, PT113410.0, PT123612.0, PT132142.0, PT132514.0, PT142321.0, PT160963.0, PT161793.0, PT163391.0, PT163683.0, PT191958.0, PT201388.0, PT202745.0, PT202760.0, PT203454.0, PT210006.0, PT210990.0, PT211085.0, PT213067.0, PT220181.0, PT220791.0, PT221296.0, PT221538.0
OG0000007	PR013704.0, PR014254.0, PR014594.0, PR015622.0, PR020782.0, PR020868.0, PR021183.0, PR022085.0, PR022100.0, PR044600.0, PR044881.0, PR050043.0, PR063721.0, PR071143.0, PR071194.0		PT010432.0, PT014735.0, PT016188.0, PT020062.0, PT020893.0, PT023554.0, PT024425.0, PT024662.0, PT025865.0, PT025976.0, PT031734.0, PT040582.0, PT055074.0, PT061304.0, PT073284.0, PT073312.0, PT090456.0, PT093357.0, PT100938.0, PT101372.0, PT111292.0, PT114677.0, PT115433.0, PT115434.0, PT120667.0, PT120674.0, PT143345.0, PT143968.0, PT150507.0, PT150887.0, PT151345.0, PT152279.0, PT180982.0, PT191592.0, PT201011.0, PT203562.0, PT203563.0
OG0000008	PR030363.0, PR031782.0, PR032590.0, PR042313.0, PR072208.0, PR072312.0	PS010033.2.0, PS013175.2.0, PS015160.2.0, PS024224.2.0, PS033301.2.0, PS034867.2.0, PS034872.2.0, PS035218.2.0, PS035512.2.0, PS050199.2.0, PS050649.2.0, PS060236.2.0, PS072256.2.0, PS072736.2.0, PS073089.2.0, PS073145.2.0, PS073274.2.0, PS082578.2.0, PS090069.2.0, PS091182.2.0, PS100937.2.0, PS100944.2.0, PS101045.2.0, PS112891.2.0	PT011631.0, PT017558.0, PT020650.0, PT031883.0, PT032347.0, PT033151.0, PT034001.0, PT041204.0, PT045069.0, PT051098.0, PT065354.0, PT070926.0, PT074966.0, PT094554.0, PT102990.0, PT113577.0, PT124447.0, PT151351.0, PT164075.0, PT192644.0, PT213032.0
OG0000009	PR010502.0, PR010715.0, PR021453.0, PR021454.0, PR021455.0, PR030674.0, PR030675.0, PR030676.0, PR030681.0, PR072555.0, PR073908.0, PR073910.0, PR073913.0	PS022941.2.0, PS022944.2.0, PS022946.2.0, PS024050.2.0, PS026486.2.0, PS026488.2.0, PS026491.2.0, PS030259.2.0, PS071679.2.0, PS073404.2.0, PS083818.2.0, PS084017.2.0, PS110610.2.0, PS110612.2.0	PT010828.0, PT010832.0, PT010836.0, PT013379.0, PT014543.0, PT014545.0, PT014547.0, PT025895.0, PT030601.0, PT032398.0, PT074076.0, PT074080.0, PT080476.0, PT110932.0, PT143434.0, PT143436.0, PT143438.0, PT143441.0, PT143442.0, PT164661.0, PT210638.0, PT221674.0, PT222166.0
